Date,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailyWeather
2/23/2020,0,0,0,
2/24/2020,0,0,0,
2/25/2020,0.14,0,0,RA BR HZ
2/26/2020,T,0,0,BR
2/27/2020,0.4,0,0,RA BR
2/28/2020,0,0,0,
2/29/2020,0,0,0,
3/1/2020,0,0,0,
3/2/2020,0,0,0,
3/3/2020,0.26,0,0,RA BR
3/4/2020,T,0,0,RA
3/5/2020,0,0,0,
3/6/2020,0.37,0,0,RA BR
3/7/2020,0,0,0,
3/8/2020,0,0,0,
3/9/2020,0,0,0,
3/10/2020,T,0,0,
3/11/2020,0,0,0,
3/12/2020,0.03,0,0,RA BR
3/13/2020,0.26,0,0,RA BR
3/14/2020,0,0,0,
3/15/2020,0,0,0,HZ
3/16/2020,0,0,0,
3/17/2020,0.16,0,0,RA BR
3/18/2020,T,0,0,
3/19/2020,0.93,0,0,RA BR
3/20/2020,T,0,0,RA BR HZ
3/21/2020,0,0,0,
3/22/2020,0,0,0,
3/23/2020,1.16,0,T,RA SN BR
3/24/2020,0,0,0,
3/25/2020,0.01,0,0,RA
3/26/2020,0,0,0,
3/27/2020,T,0,0,RA
3/28/2020,0.45,0,0,RA BR
3/29/2020,0.05,0,0,RA BR
3/30/2020,0.04,0,0,RA
3/31/2020,0.06,0,0,RA BR
4/1/2020,0,0,0,
4/2/2020,0,0,0,
4/3/2020,0.13,0,0,RA
4/4/2020,0.02,0,0,RA BR
4/5/2020,0,0,0,
4/6/2020,0.07,0,0,RA BR
4/7/2020,0,0,0,
4/8/2020,0.2,0,0,RA BR HZ
4/9/2020,0.12,0,0,RA BR
4/10/2020,0.01,0,T,RA
4/11/2020,0,0,0,
4/12/2020,0,0,0,
4/13/2020,1.92,0,0,RA BR
4/14/2020,T,0,0,RA
4/15/2020,T,0,0,RA
4/16/2020,0,0,0,
4/17/2020,0.07,0,0,RA BR
4/18/2020,0.22,0,0,RA BR
4/19/2020,0,0,0,
4/20/2020,0,0,0,
4/21/2020,0.18,0,0,RA BR
4/22/2020,0,0,0,
4/23/2020,0.13,0,0,RA BR
4/24/2020,0.48,0,0,RA BR
4/25/2020,0,0,0,
4/26/2020,0.22,0,0,RA BR
4/27/2020,T,0,0,RA
4/28/2020,0,0,0,
4/29/2020,0.01,0,0,RA
4/30/2020,0.71,0,0,RA BR
5/1/2020,0.21,0,0,RA BR
5/2/2020,T,0,0,
5/3/2020,0.04,0,0,RA
5/4/2020,T,0,0,RA
5/5/2020,0,0,0,
5/6/2020,0.06,0,0,RA BR
5/7/2020,0,0,0,
5/8/2020,0.45,0,0,RA BR
5/9/2020,0.03,0,T,SN BR UP
5/10/2020,0,0,0,
5/11/2020,0.05,0,0,RA
5/12/2020,0,0,0,
5/13/2020,0,0,0,
5/14/2020,T,0,0,
5/15/2020,0.07,0,0,RA BR
5/16/2020,0.01,0,0,RA
5/17/2020,T,0,0,
5/18/2020,0,0,0,
5/19/2020,0,0,0,
5/20/2020,0,0,0,
5/21/2020,0,0,0,
5/22/2020,0.03,0,0,RA BR
5/23/2020,0.65,0,0,RA FG BR
5/24/2020,0,0,0,
5/25/2020,0,0,0,BR
5/26/2020,0,0,0,BR HZ
5/27/2020,0,0,0,HZ
5/28/2020,T,0,0,BR
5/29/2020,0.03,0,0,BR
5/30/2020,0.02,0,0,RA
5/31/2020,0,0,0,
6/1/2020,0,0,0,
6/2/2020,T,0,0,RA
6/3/2020,0.45,0,0,RA BR
6/4/2020,0.16,0,0,RA BR
6/5/2020,0.26,0,0,RA BR
6/6/2020,0.06,0,0,RA BR
6/7/2020,0,0,0,
6/8/2020,0,0,0,
6/9/2020,0,0,0,
6/10/2020,0,0,0,
6/11/2020,0.05,0,0,RA BR
6/12/2020,0,0,0,
6/13/2020,0,0,0,
6/14/2020,0,0,0,
6/15/2020,0,0,0,
6/16/2020,0,0,0,
6/17/2020,0,0,0,
6/18/2020,T,0,0,BR
6/19/2020,T,0,0,BR
6/20/2020,0,0,0,
6/21/2020,0,0,0,
6/22/2020,0,0,0,
6/23/2020,T,0,0,RA
6/24/2020,0,0,0,
6/25/2020,0,0,0,
6/26/2020,0,0,0,
6/27/2020,0.09,0,0,RA BR
6/28/2020,0.11,0,0,RA BR
6/29/2020,0.58,0,0,RA FG BR
6/30/2020,T,0,0,RA
